date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:04:42	202532/202532	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20May%202018%2012:49:00%20GMT	https://www.maman-corp.com/admin/wp-content/uploads/2018/05/IMG_2677.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/admin/wp-content/uploads/2018/05/IMG_2677.jpg	(from https://www.maman-corp.com/project/)
11:04:42	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Apr%202023%2005:34:42%20GMT	https://maman-corp.com/admin/wp-content/uploads/2018/05/IMG_2680.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/maman-corp.com/admin/wp-content/uploads/2018/05/IMG_2680.jpg	(from https://www.maman-corp.com/project/)
11:04:42	210804/210804	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20May%202018%2012:49:00%20GMT	https://www.maman-corp.com/admin/wp-content/uploads/2018/05/IMG_2680.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/admin/wp-content/uploads/2018/05/IMG_2680.jpg	(from https://www.maman-corp.com/project/)
11:04:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Apr%202023%2005:34:43%20GMT	https://maman-corp.com/admin/wp-content/uploads/2018/05/IMG_2684.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/maman-corp.com/admin/wp-content/uploads/2018/05/IMG_2684.jpg	(from https://www.maman-corp.com/project/)
11:04:43	316751/316751	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20May%202018%2012:49:01%20GMT	https://www.maman-corp.com/admin/wp-content/uploads/2018/05/IMG_2684.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/admin/wp-content/uploads/2018/05/IMG_2684.jpg	(from https://www.maman-corp.com/project/)
11:04:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Apr%202023%2005:34:43%20GMT	https://maman-corp.com/admin/wp-content/uploads/2018/05/35116_1.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/maman-corp.com/admin/wp-content/uploads/2018/05/35116_1.jpg	(from https://www.maman-corp.com/project/)
11:04:44	245434/245434	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20May%202018%2012:48:23%20GMT	https://www.maman-corp.com/admin/wp-content/uploads/2018/05/35116_1.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/admin/wp-content/uploads/2018/05/35116_1.jpg	(from https://www.maman-corp.com/project/)
11:04:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Apr%202023%2005:34:44%20GMT	https://maman-corp.com/admin/wp-content/uploads/2018/05/35116_3.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/maman-corp.com/admin/wp-content/uploads/2018/05/35116_3.jpg	(from https://www.maman-corp.com/project/)
11:04:44	190984/190984	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20May%202018%2012:48:24%20GMT	https://www.maman-corp.com/admin/wp-content/uploads/2018/05/35116_3.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/admin/wp-content/uploads/2018/05/35116_3.jpg	(from https://www.maman-corp.com/project/)
11:04:44	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Apr%202023%2005:34:44%20GMT	https://maman-corp.com/admin/wp-content/uploads/2018/05/35116_5.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/maman-corp.com/admin/wp-content/uploads/2018/05/35116_5.jpg	(from https://www.maman-corp.com/project/)
11:04:45	172207/172207	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20May%202018%2012:48:25%20GMT	https://www.maman-corp.com/admin/wp-content/uploads/2018/05/35116_5.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/admin/wp-content/uploads/2018/05/35116_5.jpg	(from https://www.maman-corp.com/project/)
11:04:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Apr%202023%2005:34:45%20GMT	https://maman-corp.com/admin/wp-content/uploads/2018/05/35116_7.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/maman-corp.com/admin/wp-content/uploads/2018/05/35116_7.jpg	(from https://www.maman-corp.com/project/)
11:04:45	313070/313070	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20May%202018%2012:48:25%20GMT	https://www.maman-corp.com/admin/wp-content/uploads/2018/05/35116_7.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/admin/wp-content/uploads/2018/05/35116_7.jpg	(from https://www.maman-corp.com/project/)
11:04:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Apr%202023%2005:34:45%20GMT	https://maman-corp.com/admin/wp-content/uploads/2018/05/35116_9.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/maman-corp.com/admin/wp-content/uploads/2018/05/35116_9.jpg	(from https://www.maman-corp.com/project/)
11:04:45	196731/196731	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20May%202018%2012:48:26%20GMT	https://www.maman-corp.com/admin/wp-content/uploads/2018/05/35116_9.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/admin/wp-content/uploads/2018/05/35116_9.jpg	(from https://www.maman-corp.com/project/)
11:04:46	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2025%20Apr%202023%2005:34:46%20GMT	https://maman-corp.com/admin/wp-content/uploads/2018/05/35116_11.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/maman-corp.com/admin/wp-content/uploads/2018/05/35116_11.jpg	(from https://www.maman-corp.com/project/)
11:04:46	145296/145296	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20May%202018%2012:48:27%20GMT	https://www.maman-corp.com/admin/wp-content/uploads/2018/05/35116_11.jpg	C:/My%20Web%20Sites/Dharmadev%20Infra/www.maman-corp.com/admin/wp-content/uploads/2018/05/35116_11.jpg	(from https://www.maman-corp.com/project/)
